video_id,count,clicks
cv_1986,2,0
cv_8552,2,0
cv_11991,1,0
cv_8209,1,0
cv_11135,2,0
cv_7326,1,0
cv_2006,2,0
cv_1287,2,0
cv_6189,2,0
cv_9334,3,0
cv_8237,1,0
cv_6598,1,0
cv_908,3,0
cv_9441,1,0
cv_6213,2,0
cv_3563,2,0
cv_12213,2,0
cv_8946,1,0
cv_1549,1,0
cv_10934,1,0
cv_11965,1,0
cv_6433,1,0
cv_8542,1,0
cv_12882,1,0
cv_733,1,0
cv_7065,1,0
cv_11832,2,0
cv_4173,1,0
cv_6571,2,0
cv_4572,2,0
cv_6503,1,0
cv_11095,1,0
cv_6574,2,0
cv_11855,1,0
cv_7337,2,0
cv_9323,1,0
cv_4482,1,0
cv_11869,2,0
cv_9163,2,0
cv_6562,2,0
cv_11981,1,0
cv_11113,3,0
cv_4372,1,0
cv_11830,1,0
cv_6402,1,0
cv_6607,1,0
cv_691,2,0
cv_5033,2,0
cv_11871,1,0
cv_6451,2,0
cv_9321,1,0
cv_6396,2,0
cv_9121,1,0
cv_10592,1,0
cv_1523,1,0
cv_728,2,0
cv_6324,2,0
cv_6345,2,0
cv_1393,1,0
cv_6347,2,0
cv_782,1,0
cv_3586,1,0
cv_7101,1,0
cv_4174,2,0
cv_3904,2,0
cv_6312,2,0
cv_4218,2,0
cv_12866,1,0
cv_5028,2,0
cv_3619,1,0
cv_7197,2,0
cv_6406,2,0
cv_7064,1,0
cv_4978,2,0
cv_5814,2,0
cv_2759,1,0
cv_573,2,0
cv_11834,1,0
cv_804,3,0
cv_10560,2,0
cv_1347,2,0
cv_11168,2,0
cv_8473,1,0
cv_11781,4,0
cv_6498,1,0
cv_6555,2,0
cv_9319,3,0
cv_3315,2,0
cv_4708,1,0
cv_11130,2,0
cv_11116,2,0
cv_8418,2,0
cv_8610,1,0
cv_775,2,0
cv_8603,2,0
cv_8524,2,0
cv_6777,2,0
cv_4183,1,0
cv_9843,2,0
cv_7341,1,0
cv_6775,2,0
cv_11853,1,0
cv_9299,3,0
cv_11215,2,0
cv_10800,2,0
cv_11149,2,0
cv_722,1,0
cv_9564,1,0
cv_8413,2,0
cv_8613,2,0
cv_1342,1,0
cv_8879,1,0
cv_4186,1,0
cv_4327,1,0
cv_8449,1,0
cv_12192,4,0
cv_10125,1,0
cv_7123,2,0
cv_9207,1,0
